,Pos,Vel,Angle,Vel_tip,Mean_1,Mean_2,Variance_1,Variance_2
176,0.20362095376765638,1.7028668580492115,0.0023446810888047044,-1.7983408536305268,6.563592,6.6195235,0.05974328,0.06624111
177,0.23767829092864062,1.5077187571108952,-0.033622135983805826,-1.5049301712385006,5.9983554,5.617318,0.13951026,0.26531866
178,0.26783266607085854,1.31302045510341,-0.06372073940857584,-1.222930820599794,6.262993,5.9651465,0.11371979,0.07212955
179,0.2940930751729267,1.1187746018275293,-0.08817935582057172,-0.950874589962839,6.5431275,6.378705,0.01713091,0.04938413
180,0.3164685672094773,0.9249430374461697,-0.1071968476198285,-0.6871480254521016,6.766471,6.6185007,0.028335253,0.039799
181,0.3349674279584007,0.7314594712721643,-0.12093980812887054,-0.43004414241803884,6.515558,6.3842406,0.007963707,0.027218156
182,0.34959661738384396,0.9280678537148218,-0.1295406909772313,-0.7582722734424783,6.934554,6.955012,0.041569643,0.039056215
183,0.3681579744581404,0.7349463317272753,-0.14470613644608088,-0.5089956788698266,6.633902,6.0938196,0.026180223,0.04052268
184,0.38285690109268594,0.5421277577372258,-0.1548860500234774,-0.2651860169819763,6.794013,6.572286,0.079736196,0.05338347
185,0.39369945624743047,0.34951656346460674,-0.16018977036311693,-0.02508246421089927,6.790284,6.43312,0.023005871,0.0463719
186,0.40068978751672263,0.15701114027867405,-0.1606914196473349,0.21308407756343747,6.8212495,6.676693,0.027428245,0.032941777
187,0.4038300103222961,-0.03549222064384144,-0.15642973809606617,0.45107883396334386,6.7877975,6.724402,0.052126795,0.019228417
188,0.4031201659094193,-0.22809603160148645,-0.1474081614167993,0.6906539468279466,6.784154,6.751798,0.0696667,0.0923517
189,0.3985582452773896,-0.42089844639074403,-0.13359508248024038,0.9335399575634632,6.835227,6.7616677,0.03709287,0.05977327
190,0.3901402763495747,-0.613989748373723,-0.11492428332897112,1.1814358585925249,6.918124,6.9051857,0.048724916,0.038102258
191,0.37786048138210027,-0.8074480066105377,-0.09129556615712062,1.4359956034290036,6.641506,6.4538755,0.022278609,0.029250987
192,0.36171152124988953,-0.6113266953350366,-0.06257565408854054,1.1162351449280863,6.865865,6.8974595,0.024267167,0.015232555
193,0.3494849873431888,-0.41544172618611,-0.04025095118997882,0.8045975371597487,6.542815,6.6106124,0.022507757,0.028753461
194,0.34117615281946656,-0.6099894077402468,-0.024159000446783842,1.0843521111663503,6.785347,6.7093825,0.12748772,0.11365198
195,0.3289763646646616,-0.41455717161169414,-0.002471958223456836,0.7841872466782467,6.5989447,6.6751647,0.006603574,0.016788429
196,0.32068522123242776,-0.6096450673025389,0.013211786710108097,1.0760914411626485,6.748636,6.6825433,0.035390884,0.055837754
197,0.308492319886377,-0.4147001347799531,0.03473361553336107,0.7875837152204368,6.75434,6.774874,0.05971381,0.05657749
198,0.30019831719077794,-0.610281543202686,0.05048528983776981,1.0909885098799421,6.7433405,6.697505,0.027355883,0.02087196
199,0.2879926863267242,-0.4158600232320241,0.07230506003536866,0.8145641729279056,6.59889,6.6124406,0.025186157,0.042512055
200,0.27967548586208374,-0.22179876398551684,0.08859634349392677,0.5454720398479165,6.6986756,6.7270226,0.03825638,0.04376529
201,0.2752395105823734,-0.41804657525252714,0.0995057842908851,0.8647024672726067,6.4962716,6.439466,0.062195458,0.048587963
202,0.2668785790773229,-0.22440964035752273,0.11679983363633722,0.6048902839487766,6.7154417,6.868766,0.03193782,0.060146637
203,0.2623903862701724,-0.031098067210404867,0.12889763931531276,0.3511597005953324,6.3291492,6.5774407,0.03904391,0.044627286
